('unencumbered', [1.0, 0.0])
('divisiveness', [0.0, 1.0])
('far-fetched', [0.0, 1.0])
('resound', [1.0, 0.0])
('low-priced', [1.0, 0.0])
('convience', [1.0, 0.0])
('antagonistic', [0.0, 1.0])
('enchanted', [1.0, 0.0])
('screwy', [0.0, 1.0])
('wripping', [0.0, 1.0])
('stalls', [0.0, 1.0])
('concens', [0.0, 1.0])
('quieter', [1.0, 0.0])
('horde', [0.0, 1.0])
('threatening', [0.0, 1.0])
('distains', [0.0, 1.0])
('recommended', [1.0, 0.0])
('overtook', [1.0, 0.0])
('amusing', [1.0, 0.0])
('responsibly', [1.0, 0.0])
('clunky', [0.0, 1.0])
('greatest', [1.0, 0.0])
('inconsistence', [0.0, 1.0])
('well-backlit', [1.0, 0.0])
('thrilled', [1.0, 0.0])
('object', [0.0, 1.0])
('mashed', [0.0, 1.0])
('chatterbox', [0.0, 1.0])
('conceded', [0.0, 1.0])
('drought', [0.0, 1.0])
('unorthodox', [0.0, 1.0])
('inadverently', [0.0, 1.0])
('regreted', [0.0, 1.0])
('self-destructive', [0.0, 1.0])
('inaccuracies', [0.0, 1.0])
('scorching', [0.0, 1.0])
('entertaining', [1.0, 0.0])
('annoyed', [0.0, 1.0])
('prik', [0.0, 1.0])
('overpriced', [0.0, 1.0])
('capably', [1.0, 0.0])
('brutalities', [0.0, 1.0])
('heckles', [0.0, 1.0])
('ill-advised', [0.0, 1.0])
('heckled', [0.0, 1.0])
('sags', [0.0, 1.0])
('cheaply', [0.0, 1.0])
('enjoyed', [1.0, 0.0])
('die-hard', [0.0, 1.0])
('thumbs-down', [0.0, 1.0])
('delays', [0.0, 1.0])
('debts', [0.0, 1.0])
('brimstone', [0.0, 1.0])
('gutsy', [1.0, 0.0])
('leakages', [0.0, 1.0])
('dismayingly', [0.0, 1.0])
('foolishly', [0.0, 1.0])
('enslave', [0.0, 1.0])
('nightmarishly', [0.0, 1.0])
('jeers', [0.0, 1.0])
('raptureous', [1.0, 0.0])
('world-famous', [1.0, 0.0])
('protracted', [0.0, 1.0])
('prospros', [1.0, 0.0])
('preferes', [1.0, 0.0])
('criticized', [0.0, 1.0])
('ultimatum', [0.0, 1.0])
('ill-designed', [0.0, 1.0])
('cleanly', [1.0, 0.0])
('discoutinous', [0.0, 1.0])
('horrifys', [0.0, 1.0])
('nicely', [1.0, 0.0])
('broken-hearted', [0.0, 1.0])
('enraging', [0.0, 1.0])
('large-capacity', [1.0, 0.0])
('monumental', [1.0, 0.0])
('stunningly', [1.0, 0.0])
('cocky', [0.0, 1.0])
('implication', [0.0, 1.0])
('ruins', [0.0, 1.0])
('dismissively', [0.0, 1.0])
('rockstar', [1.0, 0.0])
('gallingly', [0.0, 1.0])
('spookiest', [0.0, 1.0])
('over-valuation', [0.0, 1.0])
('blameless', [1.0, 0.0])
('winnable', [1.0, 0.0])
('desolately', [0.0, 1.0])
('interruptions', [0.0, 1.0])
('resigned', [0.0, 1.0])
('crowdedness', [0.0, 1.0])
('insolently', [0.0, 1.0])
('tainted', [0.0, 1.0])
('amusingly', [1.0, 0.0])
('sloooow', [0.0, 1.0])
('misguided', [0.0, 1.0])
('skimpy', [0.0, 1.0])
('enrapt', [1.0, 0.0])
('squealing', [0.0, 1.0])
('admiring', [1.0, 0.0])
('raked', [0.0, 1.0])
('juddering', [0.0, 1.0])
('inextricable', [0.0, 1.0])
('detracting', [0.0, 1.0])
('contort', [0.0, 1.0])
('inextricably', [0.0, 1.0])
('tortures', [0.0, 1.0])
('disservice', [0.0, 1.0])
('dexterously', [1.0, 0.0])
('blasted', [0.0, 1.0])
('spoilled', [0.0, 1.0])
('violators', [0.0, 1.0])
('smartest', [1.0, 0.0])
('ilu', [1.0, 0.0])
('dents', [0.0, 1.0])
('hypocrites', [0.0, 1.0])
('gainsayer', [0.0, 1.0])
('escapade', [0.0, 1.0])
('excites', [1.0, 0.0])
('overstatements', [0.0, 1.0])
('supports', [1.0, 0.0])
('self-respect', [1.0, 0.0])
('condescending', [0.0, 1.0])
('awesomely', [1.0, 0.0])
('distorted', [0.0, 1.0])
('oblivious', [0.0, 1.0])
('humming', [0.0, 1.0])
('comical', [0.0, 1.0])
('unlamentably', [0.0, 1.0])
('hasseling', [0.0, 1.0])
('riled', [0.0, 1.0])
('incomparable', [0.0, 1.0])
('foully', [0.0, 1.0])
('condemned', [0.0, 1.0])
('bothers', [0.0, 1.0])
('bedlamite', [0.0, 1.0])
('intriguingly', [1.0, 0.0])
('incomparably', [0.0, 1.0])
('assult', [0.0, 1.0])
('unlamentable', [0.0, 1.0])
('refuted', [0.0, 1.0])
('fleeting', [0.0, 1.0])
('recomend', [1.0, 0.0])
('inconsolable', [0.0, 1.0])
('na\\EFve', [0.0, 1.0])
('irragularity', [0.0, 1.0])
('anti-us', [0.0, 1.0])
('inconsolably', [0.0, 1.0])
('dissention', [0.0, 1.0])
('refutes', [0.0, 1.0])
('worked', [1.0, 0.0])
('hard-hit', [0.0, 1.0])
('lunaticism', [0.0, 1.0])
('jeeringly', [0.0, 1.0])
('uplifting', [1.0, 0.0])
('distorts', [0.0, 1.0])
('unpopular', [0.0, 1.0])
('harms', [0.0, 1.0])
('dotingly', [1.0, 0.0])
('semi-retarded', [0.0, 1.0])
('strangest', [0.0, 1.0])
('ugliest', [0.0, 1.0])
('safely', [1.0, 0.0])
('entertains', [1.0, 0.0])
('niggles', [0.0, 1.0])
('cracked', [0.0, 1.0])
('overtaking', [1.0, 0.0])
('succes', [1.0, 0.0])
('dummy-proof', [1.0, 0.0])
('cons', [0.0, 1.0])
('well-balanced', [1.0, 0.0])
('divisively', [0.0, 1.0])
('manipulators', [0.0, 1.0])
('dumped', [0.0, 1.0])
('dazzled', [1.0, 0.0])
('taunts', [0.0, 1.0])
('misaligns', [0.0, 1.0])
('unproved', [0.0, 1.0])
('bewilderingly', [0.0, 1.0])
('trusted', [1.0, 0.0])
('cataclysmal', [0.0, 1.0])
('overstated', [0.0, 1.0])
('shimmering', [1.0, 0.0])
('spews', [0.0, 1.0])
('drawback', [0.0, 1.0])
('drop-out', [0.0, 1.0])
('worthlessly', [0.0, 1.0])
('overstates', [0.0, 1.0])
('imperiously', [0.0, 1.0])
('vibrates', [0.0, 1.0])
('ergonomical', [1.0, 0.0])
('effortlessly', [1.0, 0.0])
('ill-usage', [0.0, 1.0])
('outperformed', [1.0, 0.0])
('addicts', [0.0, 1.0])
('renaissance', [1.0, 0.0])
('unyielding', [0.0, 1.0])
('vibrated', [0.0, 1.0])
('positives', [1.0, 0.0])
('overzealously', [0.0, 1.0])
('incredulously', [0.0, 1.0])
('askance', [0.0, 1.0])
('incapably', [0.0, 1.0])
('detracted', [0.0, 1.0])
('ragged', [0.0, 1.0])
('fanatically', [0.0, 1.0])
('subpoena', [0.0, 1.0])
('admiringly', [1.0, 0.0])
('mockeries', [0.0, 1.0])
('anti-social', [0.0, 1.0])
('forsaken', [0.0, 1.0])
('personages', [1.0, 0.0])
('uncooperative', [0.0, 1.0])
('impending', [0.0, 1.0])
('righteous', [1.0, 0.0])
('trashed', [0.0, 1.0])
('erratically', [0.0, 1.0])
('spoilages', [0.0, 1.0])
('mocked', [0.0, 1.0])
('breaks', [0.0, 1.0])
('inaptitude', [0.0, 1.0])
('firmer', [1.0, 0.0])
('perfunctory', [0.0, 1.0])
('effusiveness', [1.0, 0.0])
('bastards', [0.0, 1.0])
('burns', [0.0, 1.0])
('personalized', [1.0, 0.0])
('advanced', [1.0, 0.0])
('peeved', [0.0, 1.0])
('gifted', [1.0, 0.0])
('excitedness', [1.0, 0.0])
('inadverent', [0.0, 1.0])
('farcically', [0.0, 1.0])
('disillusioned', [0.0, 1.0])
('exalting', [1.0, 0.0])
('erodes', [0.0, 1.0])
('hung', [0.0, 1.0])
('jaw-droping', [1.0, 0.0])
('warily', [0.0, 1.0])
('frustrations', [0.0, 1.0])
('successfully', [1.0, 0.0])
('futurestic', [1.0, 0.0])
('insincerely', [0.0, 1.0])
('self-interest', [0.0, 1.0])
('bore', [0.0, 1.0])
('contaminating', [0.0, 1.0])
('enemies', [0.0, 1.0])
('denies', [0.0, 1.0])
('exhausts', [0.0, 1.0])
('gruesomely', [0.0, 1.0])
('remorselessness', [0.0, 1.0])
('enticingly', [1.0, 0.0])
('denied', [0.0, 1.0])
('polluter', [0.0, 1.0])
('cash-strapped', [0.0, 1.0])
('concen', [0.0, 1.0])
('hegemonistic', [0.0, 1.0])
('angriness', [0.0, 1.0])
('break-ups', [0.0, 1.0])
('restructuring', [1.0, 0.0])
('idolized', [1.0, 0.0])
('losing', [0.0, 1.0])
('hardliners', [0.0, 1.0])
('endorsing', [1.0, 0.0])
('gratifying', [1.0, 0.0])
('empowerment', [1.0, 0.0])
('scandels', [0.0, 1.0])
('attacks', [0.0, 1.0])
('hostilities', [0.0, 1.0])
('fat-cat', [0.0, 1.0])
('over-balanced', [0.0, 1.0])
('hotbeds', [0.0, 1.0])
('lacked', [0.0, 1.0])
('meddle', [0.0, 1.0])
('thinner', [1.0, 0.0])
('haters', [0.0, 1.0])
('froze', [0.0, 1.0])
('lied', [0.0, 1.0])
('deploringly', [0.0, 1.0])
('delighted', [1.0, 0.0])
('glimmering', [1.0, 0.0])
('lies', [0.0, 1.0])
('accomplishments', [1.0, 0.0])
('over-acted', [0.0, 1.0])
('balanced', [1.0, 0.0])
('hard-liner', [0.0, 1.0])
('despised', [0.0, 1.0])
('frazzled', [0.0, 1.0])
('ill-sorted', [0.0, 1.0])
('overblown', [0.0, 1.0])
('misbecome', [0.0, 1.0])
('well-connected', [1.0, 0.0])
('gimmicked', [0.0, 1.0])
('sagging', [0.0, 1.0])
('overjoyed', [1.0, 0.0])
('lapses', [0.0, 1.0])
('gripes', [0.0, 1.0])
('shrilly', [0.0, 1.0])
('talents', [1.0, 0.0])
('illuminating', [1.0, 0.0])
('ultra-hardline', [0.0, 1.0])
('prettily', [1.0, 0.0])
('straggle', [0.0, 1.0])
('evaluative', [1.0, 0.0])
('atrocities', [0.0, 1.0])
('congratulations', [1.0, 0.0])
('high-quality', [1.0, 0.0])
('heartwarming', [1.0, 0.0])
('ruined', [0.0, 1.0])
('break-up', [0.0, 1.0])
('nicest', [1.0, 0.0])
('afflictive', [0.0, 1.0])
('glaringly', [0.0, 1.0])
('propaganda', [0.0, 1.0])
('promises', [1.0, 0.0])
('ingenuously', [1.0, 0.0])
('stupendously', [1.0, 0.0])
('suspicions', [0.0, 1.0])
('cure-all', [1.0, 0.0])
('ill-natured', [0.0, 1.0])
('proves', [1.0, 0.0])
('tarnished', [0.0, 1.0])
('acclaimed', [1.0, 0.0])
('believable', [1.0, 0.0])
('blatantly', [0.0, 1.0])
('radically', [0.0, 1.0])
('bruising', [0.0, 1.0])
('discriminate', [0.0, 1.0])
('heartbreakingly', [0.0, 1.0])
('polarisation', [0.0, 1.0])
('fanfare', [1.0, 0.0])
('unrivaled', [1.0, 0.0])
('stagnant', [0.0, 1.0])
('complicit', [0.0, 1.0])
('soundly', [1.0, 0.0])
('eye-catch', [1.0, 0.0])
('tardy', [0.0, 1.0])
('mudslinger', [0.0, 1.0])
('squeals', [0.0, 1.0])
('disastrously', [0.0, 1.0])
('subsidize', [1.0, 0.0])
('exagerate', [0.0, 1.0])
('roomier', [1.0, 0.0])
('dies', [0.0, 1.0])
('mangling', [0.0, 1.0])
('miscellaneous', [0.0, 1.0])
('one-sided', [0.0, 1.0])
('paralize', [0.0, 1.0])
('fell', [0.0, 1.0])
('scorchingly', [0.0, 1.0])
('fruitlessly', [0.0, 1.0])
('anti-white', [0.0, 1.0])
('died', [0.0, 1.0])
('congested', [0.0, 1.0])
('downer', [0.0, 1.0])
('pros', [1.0, 0.0])
('cheated', [0.0, 1.0])
('inimically', [0.0, 1.0])
('luckier', [1.0, 0.0])
('ardently', [1.0, 0.0])
('unproving', [0.0, 1.0])
('phenomenal', [1.0, 0.0])
('whoooa', [1.0, 0.0])
('denunciate', [0.0, 1.0])
('restored', [1.0, 0.0])
('premeditated', [0.0, 1.0])
('well-rounded', [1.0, 0.0])
('irrecoverably', [0.0, 1.0])
('regrettably', [0.0, 1.0])
('disrespectable', [0.0, 1.0])
('indecently', [0.0, 1.0])
('vestiges', [0.0, 1.0])
('leads', [1.0, 0.0])
('irrecoverablenesses', [0.0, 1.0])
('shimmy', [0.0, 1.0])
('adamantly', [0.0, 1.0])
('remarkably', [1.0, 0.0])
('misread', [0.0, 1.0])
('dissatisfies', [0.0, 1.0])
('obsessively', [0.0, 1.0])
('counter-attack', [1.0, 0.0])
('gutless', [0.0, 1.0])
('suffered', [0.0, 1.0])
('outmoded', [0.0, 1.0])
('pleases', [1.0, 0.0])
('so-cal', [0.0, 1.0])
('fortuitously', [1.0, 0.0])
('self-humiliation', [0.0, 1.0])
('unavoidably', [0.0, 1.0])
('sloppy', [0.0, 1.0])
('cataclysmic', [0.0, 1.0])
('fatigued', [0.0, 1.0])
('tanks', [0.0, 1.0])
('din', [0.0, 1.0])
('dismalness', [0.0, 1.0])
('excellency', [1.0, 0.0])
('steeply', [0.0, 1.0])
('enthuse', [1.0, 0.0])
('hooray', [1.0, 0.0])
('uncomfy', [0.0, 1.0])
('ill-formed', [0.0, 1.0])
('tetchily', [0.0, 1.0])
('loves', [1.0, 0.0])
('slower', [0.0, 1.0])
('ill-conceived', [0.0, 1.0])
('bravo', [1.0, 0.0])
('sneakily', [0.0, 1.0])
('slowed', [0.0, 1.0])
('frustratingly', [0.0, 1.0])
('backwood', [0.0, 1.0])
('deluded', [0.0, 1.0])
('painlessly', [1.0, 0.0])
('pleasingly', [1.0, 0.0])
('havoc', [0.0, 1.0])
('thicker', [0.0, 1.0])
('hairloss', [0.0, 1.0])
('worth-while', [1.0, 0.0])
('freaks', [0.0, 1.0])
('time-consuming', [0.0, 1.0])
('unrestricted', [1.0, 0.0])
('terror-genic', [0.0, 1.0])
('self-sufficiency', [1.0, 0.0])
('cripples', [0.0, 1.0])
('efficacious', [1.0, 0.0])
('suavely', [1.0, 0.0])
('involuntarily', [0.0, 1.0])
('snagging', [0.0, 1.0])
('illumine', [1.0, 0.0])
('demonizing', [0.0, 1.0])
('bulkyness', [0.0, 1.0])
('dwindling', [0.0, 1.0])
('molestation', [0.0, 1.0])
('shamelessness', [0.0, 1.0])
('standout', [1.0, 0.0])
('bruises', [0.0, 1.0])
('vibrating', [0.0, 1.0])
('exploitation', [0.0, 1.0])
('law-abiding', [1.0, 0.0])
('draconic', [0.0, 1.0])
('conveniently', [1.0, 0.0])
('bruised', [0.0, 1.0])
('reclaim', [1.0, 0.0])
('negatives', [0.0, 1.0])
('snobish', [0.0, 1.0])
('dissappointed', [0.0, 1.0])
('spoonfed', [0.0, 1.0])
('discontentedly', [0.0, 1.0])
('hardier', [1.0, 0.0])
('anti-occupation', [0.0, 1.0])
('sincerely', [1.0, 0.0])
('bribery', [0.0, 1.0])
('betraying', [0.0, 1.0])
('paralyzed', [0.0, 1.0])
('sufferers', [0.0, 1.0])
('surmount', [1.0, 0.0])
('flagging', [0.0, 1.0])
('challenging', [0.0, 1.0])
('flareup', [0.0, 1.0])
('sharper', [1.0, 0.0])
('confounded', [0.0, 1.0])
('distraughtly', [0.0, 1.0])
('rejuvenating', [1.0, 0.0])
('fast-growing', [1.0, 0.0])
('non-violence', [1.0, 0.0])
('cherished', [1.0, 0.0])
('upheld', [1.0, 0.0])
('underpowered', [0.0, 1.0])
('slowww', [0.0, 1.0])
('compactly', [1.0, 0.0])
('un-viewable', [0.0, 1.0])
('plaything', [0.0, 1.0])
('blotchy', [0.0, 1.0])
('smudged', [0.0, 1.0])
('energy-saving', [1.0, 0.0])
('adoringly', [1.0, 0.0])
('dilly-dally', [0.0, 1.0])
('demonized', [0.0, 1.0])
('stinging', [0.0, 1.0])
('insultingly', [0.0, 1.0])
('throbbed', [0.0, 1.0])
('smudges', [0.0, 1.0])
('savior', [1.0, 0.0])
('scratches', [0.0, 1.0])
('judder', [0.0, 1.0])
('demonizes', [0.0, 1.0])
('degenerately', [0.0, 1.0])
('bemoaning', [0.0, 1.0])
('degradingly', [0.0, 1.0])
('defeats', [1.0, 0.0])
('overloaded', [0.0, 1.0])
('instable', [0.0, 1.0])
('impasse', [0.0, 1.0])
('drags', [0.0, 1.0])
('toll-free', [1.0, 0.0])
('geeky', [1.0, 0.0])
('cost-saving', [1.0, 0.0])
('dedicated', [1.0, 0.0])
('corrupted', [0.0, 1.0])
('overzealous', [0.0, 1.0])
('abort', [0.0, 1.0])
('confuses', [0.0, 1.0])
('ill-treated', [0.0, 1.0])
('lacks', [0.0, 1.0])
('undocumented', [0.0, 1.0])
('fortunately', [1.0, 0.0])
('sloww', [0.0, 1.0])
('vainly', [0.0, 1.0])
('freezes', [0.0, 1.0])
('strikingly', [1.0, 0.0])
('infallibly', [1.0, 0.0])
('infringements', [0.0, 1.0])
('convienient', [1.0, 0.0])
('quarrellously', [0.0, 1.0])
('irreproachable', [1.0, 0.0])
('crashes', [0.0, 1.0])
('peerless', [1.0, 0.0])
('critics', [0.0, 1.0])
('disgusted', [0.0, 1.0])
('crashed', [0.0, 1.0])
('inconsequentially', [0.0, 1.0])
('mocks', [0.0, 1.0])
('drastic', [0.0, 1.0])
('shockingly', [0.0, 1.0])
('unbelievably', [0.0, 1.0])
('vomited', [0.0, 1.0])
('scrambling', [0.0, 1.0])
('bid-rigging', [0.0, 1.0])
('direness', [0.0, 1.0])
('nosey', [0.0, 1.0])
('regressive', [0.0, 1.0])
('darkened', [0.0, 1.0])
('infidels', [0.0, 1.0])
('crept', [0.0, 1.0])
('flat-out', [0.0, 1.0])
('swollen', [0.0, 1.0])
('dreamland', [1.0, 0.0])
('disagreeably', [0.0, 1.0])
('impartially', [1.0, 0.0])
('innocuous', [1.0, 0.0])
('unacceptably', [0.0, 1.0])
('spookier', [0.0, 1.0])
('accolades', [1.0, 0.0])
('pre-eminent', [1.0, 0.0])
('setbacks', [0.0, 1.0])
('unnoticed', [0.0, 1.0])
('cleanest', [1.0, 0.0])
('undermined', [0.0, 1.0])
('troubles', [0.0, 1.0])
('low-cost', [1.0, 0.0])
('sinfully', [0.0, 1.0])
('unsettlingly', [0.0, 1.0])
('oversize', [0.0, 1.0])
('unacceptablely', [0.0, 1.0])
('marvels', [1.0, 0.0])
('undermines', [0.0, 1.0])
('instantly', [1.0, 0.0])
('rattled', [0.0, 1.0])
('illogically', [0.0, 1.0])
('bashful', [0.0, 1.0])
('unwavering', [1.0, 0.0])
('flareups', [0.0, 1.0])
('vexingly', [0.0, 1.0])
('aspirations', [1.0, 0.0])
('killed', [0.0, 1.0])
('devastates', [0.0, 1.0])
('first-rate', [1.0, 0.0])
('fumes', [0.0, 1.0])
('misgivings', [0.0, 1.0])
('fawningly', [0.0, 1.0])
('mesmerizingly', [1.0, 0.0])
('finely', [1.0, 0.0])
('craftily', [0.0, 1.0])
